Term,Pronunciation,Context / Example Usage,Notes,Tags
Patrick Bahr,,,,Author
IT University of Copenhagen,,,,Institution
University of Edinburgh,,,,Institution
heap,,,,
modal,,,,
induction,,,,Common-term
recursive,,,,Common-term
Haskell,,,,Common-term programming-language
K ,,“K axiom”,,
calculus,,Used to describe a core simple programming language,,Common-term
Krishnaswami,,,,
combinator,,,,Common-term
ACM,,Association for Computing Machinery,,
operational semantics,,,,
context,,,,Common-term
lemma,,,,Common-term
calculi,,,,
semantics,,,,
recursion,,,,Common-term
modality,,,,Common-term
Fitch-style,,,,
theorem,,,,Common-term
logical relation,,,,Common-term
syntax,,,,Common-term
garbage collection,,GC,,Common-term
lambda,lam-duh,Used to refer to anonymous functions “we have a lambda function here”,theory,
well-typed,,,,Common-term
zip,,,,
redex,,,,
abstraction,,,,Common-term
compiler,,,,Common-term
IEEE,eye triple e,Institute of Electrical and Electronics Engineers,,
integer,,,,Common-term
metatheoretical,,,,Common-term
API,A.P.I.,Application Programming Interface,,Common-term
GHC,,,,compiler tool
modalities,,,,Common-term
syntactic,,,,Common-term
Coq,“Coq”,,,Common-term programming-language theorem-prover
functional programming,,,,
reduction,,,,Common-term
closure,,,,Common-term
SIGPLAN,,special interest group on programming languages,,
abstractions,,,,
Go,,,,
Hudak,,,,Name
subject reduction,,,,Common-term
type checker,,,,Common-term
type-check,,,,Common-term
AST ,A.S.T.,Abstract Syntax Tree,,
discrete,,,,
ecosystem,,,,
expressive,,,,Common-term
higher-order,,,,Common-term
Appel,,,,
Call-by-Value,,(CBV),,Common-term evaluation
congruence,,,,Common-term
cons,kon-ss,,,
denotational semantics,,,,semantics
dependent,,,,Common-term
derivation,,,,
Elimination,,,,
expression,,,,Common-term
GC,,garbage collector,,Common-term
inductive,,,,Common-term
Kripke,,“Kripke semantics”,,Name
linear,,,,Common-term
nil,,,,
Power,,,,
runtime,,,,Common-term
Trigger,,,,
coinductive,,,,Common-term
constructor,,,,Common-term
Dependent types,,,,types
GHC Haskell,,,,
match,,,,
metatheory,,,,Common-term
Paterson,,,,
pattern matching,,,,
Peterson,,,,
polymorphic,,,,Common-term
POPL,pop-ill,Conference,,Common-term
Semantic,,,,Common-term
tries,"Sometimes tries sometimes trees, I think",Prefix tree data structure,,
type-checked,,,,Common-term
typechecking,,,,Common-term
well-formed,,,,Common-term
adjoint,,,,theory
allocations,,,,Common-term
applicative,,,,Common-term
bisimilarity,,Notion of equivalence between programs,,Common-term equivalence
bisimulation,,,,Common-term equivalence
Call-by-Name,,(CBN),,Common-term evaluation
clause,,,,
closures,,,,Common-term
concurrency,,,,Common-term
conjunction,,,,
Curry-Howard,,,,
derive,,,,
direct style,,,,
distribution,,,,
domain theory,,,,Common-term
equational,,,,Common-term
expressiveness,,,,Common-term
force,,,,Common-term evaluation
Haskell Core,,,,
Honda,,,,
ICFP,,Conference,,Common-term
instantiation,,,,
JavaScript,,,,Common-term programming-language
lambda calculi,,,,Common-term
lambda calculus,lam-duh calculus,,,theory
lambda-calculus,,,,Common-term
linear-time,,,,Common-term
modularity,,,,Common-term
monadic,Mow-nad-ick,,,
OCaml,,,,Common-term programming-language
paba@itu.dk,,,,email
Property-based testing,,,,
refinements,,,,
reflect,,,,
Scheme,,,,Common-term programming-language
Small-step operational semantics,,,,
step-indexed,,“step-indexed logical relations” “step-indexed logics” “step-indexed reasoning”,,Common-term
symbolic,,,,
synthetic,,,,
weakening,,,,Common-term
FRP,,,,unclassified
RaTT,,,,unclassified
tick-free,,,,unclassified
adv-free,,,,unclassified
ballPos,,,,unclassified
plugin,,,,unclassified
constInt,,,,unclassified
ballTrig,,,,unclassified
Haskell's,,,,unclassified
arrowised,,,,unclassified
padPos,,,,unclassified
alterMap,,,,unclassified
Mogelberg,,,,unclassified
leakyConst,,,,unclassified
leakyMap,,,,unclassified
switchTrans,,,,unclassified
Clouston,,,,unclassified
GHC's,,,,unclassified
Krishnaswami's,,,,unclassified
leakySums2,,,,unclassified
arrBox,,,,unclassified
constBox,,,,unclassified
loopPre,,,,unclassified
ObjAction,,,,unclassified
objTrans,,,,unclassified
scope-checking,,,,unclassified
Yampa's,,,,unclassified
Birkedal,,,,unclassified
dswitchTrans,,,,unclassified
eta-expansion,,,,unclassified
Jeltsch,,,,unclassified
optimisations,,,,unclassified
type-checking,,,,unclassified
ballStep,,,,unclassified
Claessen,,,,unclassified
FRPNow,,,,unclassified
fst,,,,unclassified
leakySums1,,,,unclassified
LICS,,,,unclassified
Mannaa,,,,unclassified
McAllester,,,,unclassified
Nakano,,,,unclassified
padStep,,,,unclassified
Ploeg,,,,unclassified
pong2,,,,unclassified
Rattus's,,,,unclassified
returnA,,,,unclassified
rSwitch,,,,unclassified
Abramsky,,,,unclassified
big-step,,,,unclassified
Borghuis,,,,unclassified
Caspi,,,,unclassified
Chaudhury,,,,unclassified
continuous-time,,,,unclassified
Cosserat,,,,unclassified
dual-context,,,,unclassified
Esterel,,,,unclassified
eta-expansions,,,,unclassified
Graulund,,,,unclassified
Guatto,,,,unclassified
GUIs,,,,unclassified
Jarvi,,,,unclassified
Kavvos,,,,unclassified
mechanised,,,,unclassified
Pnueli,,,,unclassified
Pouzet,,,,unclassified
scanl,,,,unclassified
Sculthorpe,,,,unclassified
SIGPLAN-SIGACT,,,,unclassified
Step-indexing,,,,unclassified
subterm,,,,unclassified
time-independent,,,,unclassified
time-invariant,,,,unclassified
time-varying,,,,unclassified
Veltri,,,,unclassified
Yampa-style,,,,unclassified
addBall,,,,unclassified
adjunctions,,,,unclassified
advfree,,,,unclassified
alloc,,,,unclassified
ArrowLoop,,,,unclassified
arXiv,,,,unclassified
axiomatisation,,,,unclassified
bare-bones,,,,unclassified
Barenz,,,,unclassified
Berlin/Heidelberg,,,,unclassified
bottomScreenEdge,,,,unclassified
calcNewVelocity,,,,unclassified
codata,,,,unclassified
comonads,,,,unclassified
